Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing
0,1,36,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,37,1,8,1,4,0,0,0,0,0,1,0,0,0
1,1,59,0,11,2,2,0,0,0,0,1,0,0,0,0
0,0,19,0,2,0,4,0,0,0,0,0,0,0,0,1
1,1,47,1,0,2,5,0,1,0,0,0,0,0,0,0
1,1,61,1,5,0,3,0,1,0,0,0,0,0,0,0
0,1,47,1,1,1,3,1,0,0,0,0,0,0,0,0
1,1,50,1,2,1,4,1,0,0,0,0,0,0,0,0
1,0,19,0,0,0,4,0,0,0,0,0,1,0,0,0
1,0,22,0,0,0,3,0,0,0,0,0,1,0,0,0
0,0,22,0,0,0,6,0,0,0,0,0,1,0,0,0
1,1,50,1,1,1,5,1,0,0,0,0,0,0,0,0
1,0,27,0,8,0,3,0,0,0,0,0,1,0,0,0
1,0,18,0,0,0,3,0,1,0,0,0,0,0,0,0
0,1,61,1,0,0,1,1,0,0,0,0,0,0,0,0
0,1,20,1,1,1,3,0,0,0,0,0,0,0,1,0
1,1,45,1,1,1,2,1,0,0,0,0,0,0,0,0
1,1,55,1,8,0,1,1,0,0,0,0,0,0,0,0
0,1,88,1,1,1,4,0,0,0,0,0,0,0,1,0
1,1,63,0,2,2,3,0,0,0,0,1,0,0,0,0
1,1,69,0,2,2,2,0,0,0,0,0,0,0,1,0
1,0,42,1,0,0,4,1,0,0,0,0,0,0,0,0
1,1,79,0,2,2,2,0,0,0,0,1,0,0,0,0
0,1,35,1,9,2,3,0,0,0,0,0,1,0,0,0
1,1,27,0,5,2,4,0,0,0,0,1,0,0,0,0
1,1,52,1,2,0,2,0,0,1,0,0,0,0,0,0
0,0,29,1,0,0,4,0,0,0,0,0,1,0,0,0
0,1,79,0,1,2,2,0,0,0,0,0,0,0,1,0
1,1,87,1,2,2,2,0,0,0,0,0,0,0,1,0
1,1,89,0,1,0,2,0,0,0,0,0,0,0,1,0
1,1,63,1,9,1,3,1,0,0,0,0,0,0,0,0
1,0,31,0,1,0,2,1,0,0,0,0,0,0,0,0
1,1,72,1,1,1,6,1,0,0,0,0,0,0,0,0
0,1,41,1,9,1,2,0,1,0,0,0,0,0,0,0
0,0,61,1,11,0,1,1,0,0,0,0,0,0,0,0
1,1,62,1,0,0,2,1,0,0,0,0,0,0,0,0
1,1,56,1,1,1,2,1,0,0,0,0,0,0,0,0
1,1,60,1,2,1,5,1,0,0,0,0,0,0,0,0
1,1,68,1,0,2,2,1,0,0,0,0,0,0,0,0
1,0,19,0,2,0,8,0,0,0,0,0,1,0,0,0
1,1,57,1,8,2,3,0,0,0,0,1,0,0,0,0
1,0,19,0,5,0,5,0,0,0,0,0,1,0,0,0
0,1,51,1,3,1,6,1,0,0,0,0,0,0,0,0
0,1,86,0,1,2,2,1,0,0,0,0,0,0,0,0
0,1,74,0,1,2,2,0,0,0,0,0,0,0,1,0
1,0,23,0,6,0,2,0,0,0,1,0,0,0,0,0
1,1,47,1,0,1,2,1,0,0,0,0,0,0,0,0
0,0,19,0,7,0,6,0,0,0,0,0,1,0,0,0
1,1,50,0,0,2,4,1,0,0,0,0,0,0,0,0
1,1,80,1,2,2,2,0,0,0,0,0,0,0,1,0
1,1,78,0,2,0,1,0,0,0,0,0,0,0,1,0
0,0,48,1,0,0,1,0,1,0,0,0,0,0,0,0
1,1,70,1,1,1,2,0,1,0,0,0,0,0,0,0
1,1,50,1,3,2,5,0,0,0,0,1,0,0,0,0
0,1,83,1,0,2,2,0,0,0,0,0,0,0,1,0
1,0,35,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,36,1,0,0,2,1,0,0,0,0,0,0,0,0
0,0,35,1,1,0,1,1,0,0,0,0,0,0,0,0
1,1,35,1,0,1,2,1,0,0,0,0,0,0,0,0
1,0,18,0,3,0,3,0,0,0,0,0,1,0,0,0
0,1,73,1,1,1,2,1,0,0,0,0,0,0,0,0
1,1,62,0,1,2,3,1,0,0,0,0,0,0,0,0
0,1,46,1,1,1,2,1,0,0,0,0,0,0,0,0
1,1,43,1,0,0,4,0,0,0,1,0,0,0,0,0
0,0,32,1,7,0,1,0,0,0,1,0,0,0,0,0
1,0,39,1,0,0,1,1,0,0,0,0,0,0,0,0
0,1,89,1,0,2,2,0,0,0,0,0,0,0,1,0
0,0,18,0,0,0,3,0,0,0,0,0,1,0,0,0
0,1,57,1,0,2,2,1,0,0,0,0,0,0,0,0
0,0,18,0,0,0,4,0,0,0,1,0,0,0,0,0
0,1,71,1,1,2,2,1,0,0,0,0,0,0,0,0
0,1,69,1,0,1,2,1,0,0,0,0,0,0,0,0
0,0,42,1,0,0,4,0,0,0,0,0,1,0,0,0
0,1,80,1,1,2,2,0,0,0,0,0,0,0,1,0
1,1,69,0,2,0,1,0,0,0,1,0,0,0,0,0
0,1,67,1,0,1,3,1,0,0,0,0,0,0,0,0
0,1,47,1,1,1,4,0,1,0,0,0,0,0,0,0
0,1,49,1,0,1,2,1,0,0,0,0,0,0,0,0
0,1,32,0,9,0,4,0,0,1,0,0,0,0,0,0
0,1,65,1,1,1,4,0,0,0,0,0,0,0,1,0
0,1,78,0,0,2,2,0,0,0,0,0,0,0,1,0
1,0,33,1,1,0,6,1,0,0,0,0,0,0,0,0
1,1,48,1,1,0,1,1,0,0,0,0,0,0,0,0
1,1,58,1,1,1,5,0,0,0,0,1,0,0,0,0
0,1,83,1,1,2,2,0,0,0,0,0,0,0,1,0
0,0,30,0,9,0,4,0,0,0,0,0,1,0,0,0
0,0,35,1,0,0,2,1,0,0,0,0,0,0,0,0
1,0,32,1,6,0,5,0,0,0,0,0,1,0,0,0
1,1,69,1,1,2,2,0,0,0,0,0,0,1,0,0
0,1,71,1,1,2,2,0,0,0,0,0,0,0,1,0
1,0,43,1,0,0,1,0,0,0,0,0,0,0,1,0
1,1,37,1,0,0,2,1,0,0,0,0,0,0,0,0
1,0,42,1,0,0,1,0,1,0,0,0,0,0,0,0
0,1,70,1,1,1,2,0,1,0,0,0,0,0,0,0
1,0,46,1,0,0,2,1,0,0,0,0,0,0,0,0
1,0,21,0,2,0,2,0,0,0,0,0,1,0,0,0
1,1,70,1,0,1,2,1,0,0,0,0,0,0,0,0
0,1,61,1,1,0,2,1,0,0,0,0,0,0,0,0
1,1,60,1,1,0,1,0,0,0,1,0,0,0,0,0
1,0,37,1,0,0,2,0,0,0,1,0,0,0,0,0
1,1,30,1,1,0,2,0,0,0,0,0,1,0,0,0
0,0,32,1,1,0,3,0,0,1,0,0,0,0,0,0
1,1,26,1,0,0,3,0,0,0,0,1,0,0,0,0
1,0,42,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,18,0,2,0,2,0,1,0,0,0,0,0,0,0
1,1,80,0,2,0,2,0,0,0,0,1,0,0,0,0
1,1,29,1,8,2,2,0,0,0,0,0,1,0,0,0
0,1,88,1,1,2,2,1,0,0,0,0,0,0,0,0
1,1,70,1,1,0,1,0,0,0,0,0,0,0,1,0
0,1,50,1,1,2,4,1,0,0,0,0,0,0,0,0
1,1,43,1,4,1,4,0,1,0,0,0,0,0,0,0
1,1,51,1,6,1,2,1,0,0,0,0,0,0,0,0
0,1,50,1,2,2,3,1,0,0,0,0,0,0,0,0
0,1,74,0,2,0,1,0,0,0,0,0,0,1,0,0
0,0,29,1,2,0,3,0,0,0,0,0,1,0,0,0
0,0,32,1,2,0,2,0,0,1,0,0,0,0,0,0
1,1,60,0,0,0,2,0,0,0,0,1,0,0,0,0
1,0,46,1,2,0,1,1,0,0,0,0,0,0,0,0
0,1,81,1,0,0,2,0,0,0,0,0,0,0,0,1
1,1,41,0,2,1,7,0,0,1,0,0,0,0,0,0
1,1,22,0,0,2,4,0,0,0,0,1,0,0,0,0
1,1,37,1,0,1,3,1,0,0,0,0,0,0,0,0
1,1,43,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,50,1,1,1,3,1,0,0,0,0,0,0,0,0
0,1,35,1,1,1,2,1,0,0,0,0,0,0,0,0
1,1,65,0,1,2,2,0,0,0,0,0,0,0,1,0
0,0,41,1,0,0,4,0,0,1,0,0,0,0,0,0
1,0,28,0,8,0,2,0,0,0,1,0,0,0,0,0
1,1,55,1,4,1,2,1,0,0,0,0,0,0,0,0
0,1,58,0,2,2,2,0,0,0,0,0,0,0,1,0
1,0,28,0,1,0,3,0,0,0,0,0,1,0,0,0
1,1,48,1,2,1,4,1,0,0,0,0,0,0,0,0
0,1,78,0,1,2,2,0,1,0,0,0,0,0,0,0
0,0,35,1,1,0,3,0,1,0,0,0,0,0,0,0
0,1,76,1,0,2,2,0,0,0,0,0,0,0,1,0
0,1,88,1,1,2,2,0,0,0,0,0,0,0,1,0
0,1,79,1,2,2,2,1,0,0,0,0,0,0,0,0
1,0,30,0,0,0,4,0,1,0,0,0,0,0,0,0
1,1,69,0,0,2,2,0,0,0,0,1,0,0,0,0
1,1,65,1,1,1,2,0,1,0,0,0,0,0,0,0
0,1,70,1,1,0,2,0,0,0,0,0,0,0,1,0
1,1,32,0,0,1,4,0,0,0,0,0,1,0,0,0
1,1,46,1,2,0,4,0,0,0,1,0,0,0,0,0
1,0,21,0,8,0,5,0,0,0,0,0,1,0,0,0
1,1,47,1,2,0,3,0,1,0,0,0,0,0,0,0
0,0,39,0,0,0,2,0,0,0,0,0,0,0,0,1
1,1,85,1,0,0,3,0,0,0,0,0,0,0,1,0
0,0,66,1,0,0,2,1,0,0,0,0,0,0,0,0
0,1,50,1,1,1,2,1,0,0,0,0,0,0,0,0
0,1,42,1,0,1,3,1,0,0,0,0,0,0,0,0
1,1,53,1,9,0,1,1,0,0,0,0,0,0,0,0
1,1,37,1,2,0,2,1,0,0,0,0,0,0,0,0
0,1,45,1,1,0,2,1,0,0,0,0,0,0,0,0
0,0,66,0,2,0,1,0,0,0,0,0,0,0,1,0
1,0,33,0,2,0,2,0,0,0,0,0,0,0,0,1
1,1,40,1,4,0,1,1,0,0,0,0,0,0,0,0
0,1,35,1,1,0,1,1,0,0,0,0,0,0,0,0
1,0,27,1,2,0,2,1,0,0,0,0,0,0,0,0
0,1,48,1,0,1,3,1,0,0,0,0,0,0,0,0
0,1,56,1,0,1,2,1,0,0,0,0,0,0,0,0
1,1,25,1,2,0,6,0,0,0,0,0,1,0,0,0
0,0,30,0,2,0,8,1,0,0,0,0,0,0,0,0
0,1,46,1,7,0,3,0,0,0,1,0,0,0,0,0
1,1,49,0,0,0,2,0,0,0,0,0,0,0,1,0
1,1,72,0,1,0,4,0,0,0,0,0,0,0,0,1
0,1,79,1,2,2,2,0,0,0,0,0,0,0,1,0
0,0,35,1,2,0,3,1,0,0,0,0,0,0,0,0
0,1,77,1,0,0,1,0,0,0,0,0,0,0,1,0
0,1,79,0,2,2,2,0,0,0,0,0,0,0,1,0
1,1,42,1,6,2,4,0,0,0,0,0,1,0,0,0
0,0,42,1,2,0,1,0,0,1,0,0,0,0,0,0
1,1,67,0,2,2,2,0,0,0,0,0,0,0,1,0
1,0,26,1,1,0,1,0,0,0,0,0,1,0,0,0
1,1,67,1,1,2,2,0,0,0,0,0,0,0,1,0
1,1,55,1,1,0,1,0,0,1,0,0,0,0,0,0
1,1,46,1,8,1,2,1,0,0,0,0,0,0,0,0
1,1,32,1,7,0,2,0,0,0,0,0,1,0,0,0
0,0,49,1,13,0,1,0,0,0,0,0,0,1,0,0
1,1,59,1,1,2,2,1,0,0,0,0,0,0,0,0
1,0,22,0,8,0,5,0,0,0,0,0,1,0,0,0
0,0,28,1,8,0,1,1,0,0,0,0,0,0,0,0
1,0,28,1,1,0,3,0,0,0,1,0,0,0,0,0
1,1,75,1,2,0,1,0,0,0,0,0,0,0,1,0
0,1,37,1,13,0,2,1,0,0,0,0,0,0,0,0
1,1,50,1,0,1,2,0,1,0,0,0,0,0,0,0
0,1,50,1,1,2,4,0,0,0,0,1,0,0,0,0
0,1,88,0,2,0,2,0,0,0,0,0,0,0,1,0
0,1,35,1,3,1,5,1,0,0,0,0,0,0,0,0
1,1,31,0,2,1,3,0,0,0,1,0,0,0,0,0
1,1,46,1,0,0,1,1,0,0,0,0,0,0,0,0
0,1,50,1,1,1,4,1,0,0,0,0,0,0,0,0
0,0,33,1,7,0,3,1,0,0,0,0,0,0,0,0
1,1,49,1,0,0,1,1,0,0,0,0,0,0,0,0
1,1,52,1,1,1,3,1,0,0,0,0,0,0,0,0
1,0,25,0,0,0,3,0,0,0,0,0,1,0,0,0
0,1,41,1,6,0,1,1,0,0,0,0,0,0,0,0
0,1,68,1,0,2,2,1,0,0,0,0,0,0,0,0
1,1,40,1,5,1,5,0,0,0,1,0,0,0,0,0
0,0,62,1,2,0,1,0,1,0,0,0,0,0,0,0
0,0,20,0,2,0,4,0,0,0,0,0,1,0,0,0
1,0,28,1,1,0,5,0,0,0,1,0,0,0,0,0
1,1,57,1,0,1,2,0,1,0,0,0,0,0,0,0
0,0,25,0,8,0,2,0,0,0,0,0,1,0,0,0
0,1,63,0,8,0,1,0,0,1,0,0,0,0,0,0
0,1,26,0,1,0,3,0,0,0,1,0,0,0,0,0
0,1,50,0,0,2,3,0,0,0,0,0,0,0,0,1
0,0,30,0,9,0,4,0,0,0,0,0,0,0,0,1
